col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Martin and Lewis,Toronto,"[0, 1]"
The Christmas Card,California,"[0, 1]"
Somebody Help Me,California,"[0, 1]"
Hijack,California,"[0, 1]"
On Golden Pond,Los Angeles,"[0, 1]"
The Monk,San Francisco,"[0, 1]"
Phil Spector,New York City,"[0, 1]"
Nero Wolfe,New York City,"[0, 1]"
Into the Fire,New York City,"[0, 1]"
Pope John Paul II,Austria,"[0, 1]"
Bigfoot,Carnation,"[0, 1]"
Foreign Exchange,Pinewood Studios,"[0, 1]"
Brief Encounter,Pinewood Studios,"[0, 1]"
Curtin,Victoria,"[0, 1]"
French Silk,New Orleans,"[0, 1]"
Faith of My Fathers,New Orleans,"[0, 1]"
Child of Glass,New Orleans,"[0, 1]"
A Streetcar Named Desire,New Orleans,"[0, 1]"
A Streetcar Named Desire,New Orleans,"[0, 1]"
Pop Rocks,New Orleans,"[0, 1]"
Harvey,Vancouver,"[0, 1]"
Dead on Target,Vancouver,"[0, 1]"
Blackout,Vancouver,"[0, 1]"
Goblin,British Columbia,"[0, 1]"
