col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
9C J1539+4217,18.22,,[0]
2MASS J08120905+5717384,17.96,0.1386,[0]
6C 000852+702833,20.3799,,[0]
7C 070112.19+450709.00,18.407,,[0]
87GB 170008.3+264707,18.945,,[0]
QSO B0829+047,16.4,0.174,[0]
QSO B0111+021,16.0,0.047,[0]
4C 36.01,18.0,0.366,[0]
2A 1058-226,16.55,0.186,[0]
2MASS J08535219+0204114,20.9,0.35848,[0]
4C 48.41,19.7,,[0]
2MASS J12264425+0638533,17.22,,[0]
2FGL J0334.3-3728,16.56,,[0]
ICRF J224412.7+405713,19.7,1.171,[0]
IK Aquarii,15.039,,[0]
2MASS J01340171-5618454,13.746,,[0]
[ATZ98] A012,19.19,,[0]
WISE J173507.92-621521.5,18.9757,,[0]
3FGL J1027.7+6316,18.76,,[0]
SWIFT J1153.9+5848,19.47,0.20237,[0]
MASTER OT J223634.06-143322.3,18.66,0.609,[0]
