col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Beersheba bus bombings,19.0,100.0,[0]
USS Cole bombing,,39.0,[0]
Mardan suicide bombing,26.0,,[0]
2008 Khost suicide bombing,4.0,,[0]
Khost suicide bombing,33.0,10.0,[0]
2018 Sweida attacks,215.0,180.0,[0]
28 August 2011 Baghdad bombing,32.0,39.0,[0]
2017 Aleppo suicide car bombing,126.0,55.0,[0]
Maidan Shar attack,129.0,70.0,[0]
2023 Ankara bombing,2.0,2.0,[0]
December 2015 Chad suicide bombings,,130.0,[0]
11 May 2016 Baghdad bombings,110.0,103.0,[0]
Brussels Airport Terrorist Attack 2016,35.0,81.0,[0]
October 2017 Mogadishu bombings,588.0,400.0,[0]
Dikwa suicide bombings,56.0,,[0]
2010 Chabahar suicide bombing,33.0,95.0,[0]
2016 Istanbul airport attack,41.0,239.0,[0]
