col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
opolje,registered immobile cultural heritage of Slovenia,"[0, 1]"
Podbgže,registered immobile cultural heritage of Slovenia,"[0, 1]"
Novavas pri Jglšanah,registered immobile cultural heritage of Slovenia,"[0, 1]"
Dvorska vbs,registered immobile cultural heritage of Slovenia,"[0, 1]"
Dvprska vas.,registered immobile cultural heritage of Slovenia,"[0, 1]"
Mržjanca,registered immobile cultural heritage of Slovenia,"[0, 1]"
Raka,registered immobile cultural heritage of Slovenia,"[0, 1]"
Coljaxa,registered immobile cultural heritage of Slovenia,"[0, 1]"
Šhntgotard.,registered immobile cultural heritage of Slovenia,"[0, 1]"
Kosoveje,registered immobile cultural heritage of Slovenia,"[0, 1]"
Kamen Castl,registered immobile cultural heritage of Slovenia,"[0, 1]"
Harijf,registered immobile cultural heritage of Slovenia,"[0, 1]"
Holy CrossChurch (Dednja Vas),monument of local significance,"[0, 1]"
Bukovica prj Yodch,registered immobile cultural heritage of Slovenia,"[0, 1]"
Osp.,registered immobile cultural heritage of Slovenia,"[0, 1]"
Dolenjepri Jelšanah,registered immobile cultural heritage of Slovenia,"[0, 1]"
Spodnj Jakobski Dol.,registered immobile cultural heritage of Slovenia,"[0, 1]"
Štoe,registered immobile cultural heritage of Slovenia,"[0, 1]"
ďehovini,registered immobile cultural heritage of Slovenia,"[0, 1]"
Poylje,registered immobile cultural heritage of Slovenia,"[0, 1]"
Škrlvica,registered immobile cultural heritage of Slovenia,"[0, 1]"
