col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 2], [0, 1]]"
Bank of New Zealand (Former),"12–14 High Street, Marton",,[0]
Bank of New Zealand (Former),"59 Arawa Street, Matamata",,[0]
Bank of New Zealand (Former),"12–14 Victoria Road, Devonport, Auckland",,[0]
Bank of New Zealand (Former),"90–92 Kana Street, Mataura",,[0]
Hayloft Theatre,,Celery Flats,"[0, 2]"
Puig Castellar,,Puig Castellar,"[0, 2]"
Omanawa Falls Power Station,"Omanawa Falls Road, Tauranga",,[0]
Winslow,,La Posada Historic District,"[0, 2]"
Franconia,"136 The Terrace, Wellington",,[0]
Advocate Building,"26–28 High Street, Marton",,[0]
Hagley House,,Fendalton,"[0, 2]"
Old Store,"372 Te Ahu Ahu Road and Showground Road, Waimate North",,[0]
