col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Schwefelberg,Hohenems,,"[0, 1]"
Monastyrok,Cherkasy Raion,,"[0, 1]"
Ilim,Sverdlovsk Oblast,,"[0, 1]"
Upkankul,Askinsky District,,"[0, 1]"
Kastenberg,Hardegg,,"[0, 1]"
Am Horn,Finkenberg,Zillertal Alps,"[0, 1, 2]"
Brandsberg,Hollabrunn,,"[0, 1]"
Lange Grube,Obertraun,Dachstein Mountains,"[0, 1, 2]"
Burg,Schnepfau,,"[0, 1]"
Wachtberg,Gaweinstal,,"[0, 1]"
Lazareva,Kirensky District,,"[0, 1]"
Garmil,Sonntag,Lechquellen Mountains,"[0, 1, 2]"
Mitterfeld,Freising,,"[0, 1]"
Schmalzgrube,Muhr,Ankogel Group,"[0, 1, 2]"
Gereut,Freising,,"[0, 1]"
Kreuzleiten,Grein,,"[0, 1]"
Hammerschlag,Sankt Radegund bei Graz,,"[0, 1]"
