col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Blue Bell Hill,160.0,[0]
Little Round Top,,[0]
Gold-Berg,379.8,[0]
Signal Hill,,[0]
Signal Hill,,[0]
Signal Hill,,[0]
Signal Hill,,[0]
Jinning,,[0]
Gregory Rock,,[0]
Wein-Berg,83.0,[0]
Rangenbergle,589.0,[0]
Valy,469.0,[0]
Homert,519.0,[0]
Galgenberg,45.0,[0]
Galgenberg,506.1,[0]
Galgenberg,351.0,[0]
Maasberg,,[0]
Eldsfjellet,,[0]
Scheinberg,498.0,[0]
Stony Hill,,[0]
Stony Hill,,[0]
Great Orme,207.0,[0]
Modla,512.0,[0]
Muldraugh Hill,,[0]
Izberbash,,[0]
