col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Agreste Potiguar,,[0]
Bom Jesus da Lapa,15702.615,[0]
Itapemirim,1279.022,[0]
Brumado,15413.55,[0]
Itapecuru Mirim,6785.333,[0]
Itaberaba,16681.854,[0]
Serrana,1785.063,[0]
Sena Madureira,40646.193,[0]
Ribeira do Pombal,7982.825,[0]
Porto Seguro,27665.304,[0]
Jeremoabo,8197.79,[0]
Tabuleiro,2383.147,[0]
Senhor do Bonfim,16349.055,[0]
Salvador,2837.113,[0]
Cruzeiro do Sul,29781.195,[0]
Rio Vermelho,20205.983,[0]
Macau,1867.777,[0]
Cariri,4115.828,[0]
Bico do Papagaio,,[0]
Barreiras,52778.771,[0]
