col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
India,Government of India,"[0, 1]"
Georgia,Government of Georgia,"[0, 1]"
Romania,Government of Romania,"[0, 1]"
Latvia,Government of Latvia,"[0, 1]"
Estonia,Government of Estonia,"[0, 1]"
Bulgaria,Council of Ministers of Bulgaria,"[0, 1]"
Finland,Finnish Government,"[0, 1]"
Liechtenstein,Cabinet of Liechtenstein,"[0, 1]"
East Timor,Cabinet of East Timor,"[0, 1]"
Norway,Government of Norway,"[0, 1]"
Nauru,Cabinet of Nauru,"[0, 1]"
France,Government of France,"[0, 1]"
Poland,Council of Ministers,"[0, 1]"
Serbia,Government of Serbia,"[0, 1]"
Croatia,Government of Croatia,"[0, 1]"
Slovenia,Government of Slovenia,"[0, 1]"
Spain,Government of Spain,"[0, 1]"
