col0,col1,"Metadata:CTA:[0],CPA:[]"
Gray!Township,,[0]
orth Mahoning Township,,[0]
Luzerng Township,,[0]
Grugan Townhp,,[0]
Lower Turkeyoot Township,,[0]
qyder Township,,[0]
Snyder Townhip,,[0]
Marple Townsjip,109.23,[0]
WestFinley Township,,[0]
PlainGrove Township,,[0]
Edgmont Toynship,472.283,[0]
East Caln!Township,286.399,[0]
Lower Fhichester Township,98.588,[0]
Deer Cree Tqwnship,,[0]
Bmacklick Township.,,[0]
Grant Towoship,,[0]
Quemahoning#Township,,[0]
Yrightstown Township,124.5,[0]
Drumore Townshi,,[0]
Towamensin Township,722.15,[0]
Ar Township,,[0]
PriceTownship,1272.172,[0]
Miffli Township,,[0]
