col0,col1,col2,"Metadata:CTA:[0, 2],CPA:[[0, 2], [0, 1]]"
Emerson Township,36.05,Harlan County,"[0, 2]"
Valley Township,35.81,Knox County,"[0, 2]"
Valley Township,35.85,Buffalo County,"[0, 2]"
Frenchtown Township,92.61,Antelope County,"[0, 2]"
Orleans Township,35.59,Harlan County,"[0, 2]"
Cleveland Township,35.7,Cuming County,"[0, 2]"
Cleveland Township,85.8,Holt County,"[0, 2]"
Cleveland Township,35.99,Knox County,"[0, 2]"
Richland Township,36.23,Saunders County,"[0, 2]"
Saratoga Township,53.54,Holt County,"[0, 2]"
