col0,col1,col2,col3,"Metadata:CTA:[0, 1],CPA:[[0, 1], [0, 2], [0, 3]]"
FCM Legends award,,Federació Catalana de Motociclisme,motorcycle sport,"[0, 2, 3]"
Finnish FA's Women's Footballer of the Year,,Football Association of Finland,association football,"[0, 2, 3]"
Ballon d'Or,Ronaldo,France Football,association football,"[0, 1, 2, 3]"
FIFA Player of the Century,,FIFA,association football,"[0, 2, 3]"
Serie A Footballer of the Year,,Italian Footballers' Association,association football,"[0, 2, 3]"
Kaijan Kannu,,Football Association of Finland,association football,"[0, 2, 3]"
Ard Schenk Award,,Aegon N.V.,long track speed skating,"[0, 2, 3]"
Jim Phelan Award,,Collegeinsider.com,basketball,"[0, 2, 3]"
Penang Badminton Association Silver Plate,,Penang Badminton Association,badminton,"[0, 2, 3]"
Sammon malja,,Finnish Ice Hockey Association,ice hockey,"[0, 2, 3]"
Janne Rautavuori Award,,Finnish Ice Hockey Association,ice hockey,"[0, 2, 3]"
Chelsea F.C. Player of the Year,,Chelsea F.C.,association football,"[0, 2, 3]"
Finnish Sports Journalists' Footballer of the Year,,Finnish Sports Journalists' Association,association football,"[0, 2, 3]"
Ricardo Zamora Trophy,,Marca,association football,"[0, 2, 3]"
Kladno Hockey Hall of Fame,,HC Kladno,ice hockey,"[0, 2, 3]"
FIM Legend,,International Motorcycling Federation,motorcycle sport,"[0, 2, 3]"
Captain’s Ball,,Football Association of Finland,association football,"[0, 2, 3]"
Chess Oscar,,International Association of Chess Press,chess,"[0, 2, 3]"
Isobel Cup,,Premier Hockey Federation,ice hockey,"[0, 2, 3]"
Softball America Freshman of the Year,,Wilson Sporting Goods,college softball,"[0, 2, 3]"
