col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Aden Protectorate,1869-01-01,1963-01-18,[0]
Bahrain and its Dependencies,1783-01-01,1971-01-01,[0]
Miguel Iglesias government,1882-01-01,1885-01-01,[0]
Principality of Cancao,1707-01-01,1832-01-01,[0]
Dahomey,1600-01-01,1894-01-15,[0]
French protectorate of Tunisia,1881-05-12,1956-03-20,[0]
British North Borneo,1882-01-01,1963-01-01,[0]
Spanish protectorate in Morocco,1912-03-30,1956-04-06,[0]
British Somaliland,1884-01-01,1960-06-26,[0]
Malagasy Protectorate,1882-01-01,1897-01-01,[0]
Mandatory Iraq,1920-01-01,1932-01-01,[0]
Italian protectorate of Albania,1939-04-07,1943-09-08,[0]
Uryankhay Krai,1914-01-01,1921-01-01,[0]
British Solomon Islands,1893-03-15,1978-01-01,[0]
United States of the Ionian Islands,1815-11-09,1864-05-28,[0]
Septinsular Republic,1800-03-21,1807-01-01,[0]
Empire of Theodoric the Great,0507-01-01,0549-01-01,[0]
East Africa Protectorate,1895-07-01,1920-07-23,[0]
Kingdom of Tahiti,1788-01-01,1880-06-29,[0]
Principality of Thuận Thành,1695-01-01,1832-01-01,[0]
United States Protectorate over Cuba,1898-04-20,1902-05-20,[0]
Tangier International Zone,1924-05-14,1956-10-29,[0]
Saloum,1494-01-01,1969-01-01,[0]
Portuguese Cochin,1503-01-01,1663-01-01,[0]
