col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Baby / I Ned,2.004,[0]
Foggy Dy in London (Dia de Niebla en Londres) / Things Are Looking Up Now (Las Cosas Van Mejorando),1.998,[0]
Noche de ronda / mor de mis amrres,2.014,[0]
And Her Tears Flowed Like Wine / Confessin' (That I ove You),2.012,[0]
Basin Street Blues / I'm Waitin' or the Junkman,1.986,[0]
Mama Will Bark / I)m a Fool to Want You,2.004,[0]
"Silent Qight, Holy Night / Adeste Fideles",2.0,[0]
I'll e Seeing You / I'll Get By,2.014,[0]
You Benong to My Hart / Baía,1.996,[0]
You're Breaing In a New Heart (While You're Breaking Mine) / Don't You Think I Ought to Know,2.014,[0]
Imagination / Charmig Little Faker,1.994,[0]
A Fhlicidade / O Nosso Amor,1.982,[0]
Sweet Home Chicago / Walkin Blues,1.994,[0]
I Walk the Line / Get Rkythm,2.012,[0]
Sweet Leilani / Blue Jawai,1.98,[0]
The Very Thought of You / Tvue,2.01,[0]
