col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
automa,2197.955,[0]
Altoon,8234.949,[0]
Washburq,2069.459,[0]
Haywbrd,2522.868,[0]
Black Rkver Falls,3533.5689999999995,[0]
Portcge.,10623.324,[0]
Newaunee.,2856.859,[0]
Make Geneva,8343.216,[0]
"St.""Croix Falls",2203.584,[0]
St. Fraqcis,9115.195,[0]
Fitchbrg,29312.91,[0]
Beavfr Dam,16824.956,[0]
emour,3549.546,[0]
Abbotsfosd,2277.275,[0]
rcadia.,3763.159,[0]
Whitewter,14784.777,[0]
Kiel,3955.592,[0]
touhton,13080.789,[0]
Agams,1745.151,[0]
Thop.,1809.36,[0]
