col0,col1,col2,"Metadata:CTA:[0, 1],CPA:[[0, 1], [0, 2]]"
Madame Sans-Gêne,Rinio Papanikola,Thiasos Tzenis Karezi,"[0, 1, 2]"
The last game,Rinio Papanikola,Thiasos Tzenis Rousea,"[0, 1, 2]"
Christ Recrucified,Fivos Anoyanakis,Elliniko Laiko Theatro Manou Katraki,"[0, 1, 2]"
O trellos tou Louna Park kai i atsida,Giorgos Lazarides,Thiasos Smaroulas Giouli,"[0, 1, 2]"
The madman of Luna Park,Giorgos Lazarides,Thiasos Smaroulas Giouli,"[0, 1, 2]"
The maids,Themistoklis Moumoulidis,Municipal and Regional Theatre of Volos,"[0, 1, 2]"
I Am Not Me or The Logic,Stephanos Vassiliadis,National Theatre of Greece,"[0, 1, 2]"
Eviction,Stephanos Vassiliadis,National Theatre of Greece,"[0, 1, 2]"
The Imaginary Invalid,Stephanos Vassiliadis,National Theatre of Greece,"[0, 1, 2]"
The Cherry Orchard,Stephanos Vassiliadis,National Theatre of Greece,"[0, 1, 2]"
The Cherry Orchard,Stephanos Vassiliadis,Thiasos Ellis Lamberi - Dimitri Papamichail,"[0, 1, 2]"
An enemy of the people,Christos Tsagas,Municipal and Regional Theatre of Ioannina,"[0, 1, 2]"
The glass world,Rinio Papanikola,Aplo Theatro,"[0, 1, 2]"
