col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Hanging Bridge,,[0]
Campbell's Bridge,,[0]
Pont Marie,,[0]
Henry Covered Bridge,,[0]
Cedar Avenue Bridge,,[0]
Ponte di Mezzo,1.0,[0]
Boulder Bridge,,[0]
Tenryugawa Bridge,,[0]
Hoogbrug,,[0]
Manette Bridge,6.0,[0]
Christopher S. Bond Bridge,,[0]
Christopher S. Bond Bridge,,[0]
Grafton Bridge,1.0,[0]
Birmingham Bridge,,[0]
Birmingham Bridge,,[0]
Tower Bridge,,[0]
Tower Bridge,,[0]
Burnside Bridge,1.0,[0]
Burnside Bridge,,[0]
County Farm Bridge,,[0]
Beaver Creek Bridge,,[0]
Beaver Creek Bridge,,[0]
Bradford Bridge,2.0,[0]
Railway Bridge,3.0,[0]
Union Bridge,1.0,[0]
