col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Faust,Czech Republic,"[0, 1]"
Garfield: A Tail of Two Kitties,United States of America,"[0, 1]"
The Smurfs 2,United States of America,"[0, 1]"
Yogi Bear,New Zealand,"[0, 1]"
The Pagemaster,United States of America,"[0, 1]"
Song of the South,United States of America,"[0, 1]"
Happy Feet,Australia,"[0, 1]"
Pinocchio,United States of America,"[0, 1]"
The Flying Machine,United Kingdom,"[0, 1]"
Osmosis Jones,United States of America,"[0, 1]"
Out of the Inkwell,United States of America,"[0, 1]"
The Flat,Czechoslovakia,"[0, 1]"
