col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
American Evangelical Lutheran Church,,[0]
Evangelical Lutheran Church in Malaysia,,[0]
Catholic Church,,[0]
Iglesia de San Pedro El Viejo,Almería,"[0, 1]"
Evangelical Lutheran Church in the Himalayan States,,[0]
Slavic Orthodox,,[0]
Tokyo Baptist Church,Shibuya-ku,"[0, 1]"
"St. Gregory the Illuminator Cathedral (Glendale, California)",Glendale,"[0, 1]"
Guangxiao Christ Church,Guangzhou,"[0, 1]"
Union of the Armenian Evangelical Churches in the Near East,,[0]
United Pentecostal Church of Colombia,Medellín,"[0, 1]"
