col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Edmonton,London Borough of Enfield,"[0, 1]"
Beeston,Beeston,"[0, 1]"
East Cork,Ireland,"[0, 1]"
Carmarthen,Wales,"[0, 1]"
Thurrock,East of England,"[0, 1]"
Broxbourne,East of England,"[0, 1]"
South Antrim,Northern Ireland,"[0, 1]"
Wimbledon,London Borough of Merton,"[0, 1]"
Petersfield,Petersfield,"[0, 1]"
Petersfield,,[0]
Brierley Hill,,[0]
Worthing West,South East England,"[0, 1]"
Solihull,West Midlands,"[0, 1]"
Hackney,,[0]
Leicester East,East Midlands,"[0, 1]"
Leicester East,,[0]
Southwark North,,[0]
Holderness,,[0]
Portarlington,Ireland,"[0, 1]"
Whitby,,[0]
Scarborough and Whitby,Yorkshire and the Humber,"[0, 1]"
Scarborough and Whitby,,[0]
Wyre,Lancashire,"[0, 1]"
