col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Minister of Finance,Cabinet of Ecuador,"[0, 1]"
Minister of Public Works,Ministerial Council of Greece,"[0, 1]"
Minister of Foreign Affairs,Cabinet of the Maldives,"[0, 1]"
Minister of Foreign Affairs,Cabinet of Antigua and Barbuda,"[0, 1]"
Minister of Foreign Affairs,Cabinet of Tonga,"[0, 1]"
Minister for Education,Cabinet of Ghana,"[0, 1]"
Attorney General of Indonesia,Cabinet of Indonesia,"[0, 1]"
Minister for Home Affairs,Cabinet of Singapore,"[0, 1]"
Minister of Information,Council of Ministers,"[0, 1]"
Minister of Education,Finnish Government,"[0, 1]"
Minister for the Environment,Cabinet of Australia,"[0, 1]"
Minister for Sport,Cabinet of Australia,"[0, 1]"
Minister for Education,Cabinet of Australia,"[0, 1]"
Minister of Agriculture and Food,Government of Norway,"[0, 1]"
