col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Netto,Copenhagen,,"[0, 1]"
Champion,Bayeux,,"[0, 1]"
Boxer,,Boxer Build,"[0, 2]"
SuperValu,Minneapolis,Bristol Farms,"[0, 1, 2]"
Kroger,,84.51°,"[0, 2]"
masymas,Oviedo,,"[0, 1]"
masymas,Pedreguer,,"[0, 1]"
BI-LO,,Winn-Dixie,"[0, 2]"
Dia,,La Plaza de DIA,"[0, 2]"
QFC,Seattle,,"[0, 1]"
Sigma,Bologna,,"[0, 1]"
Colruyt,Brussels metropolitan area,,"[0, 1]"
Asda,Leeds,Asda Express,"[0, 1, 2]"
Bennet,Como,,"[0, 1]"
Hozain,,Hozain Darmstadt,"[0, 2]"
Albert Heijn,Zaandam,,"[0, 1]"
