col0,col1,"Metadata:CTA:[0],CPA:[]"
Vint Municipality,,[0]
Viacha Municipamity,852.6049999999999,[0]
Municipio de Santa Rova del Abuná,,[0]
San Pedr de Tiquina Municipality,60.17999999999999,[0]
to Beni Municipality,,[0]
Llia Municipality,3242.552,[0]
San!Rafael Municipality,9804.68134,[0]
El Alto Municipanity,345.308,[0]
mparáez,,[0]
Bermej,,[0]
ila Vlla Mnicipality,,[0]
Uroiri,,[0]
ldo Ballivián Municipality,122.61,[0]
Cruz De Machacamarc,,[0]
l Choro,,[0]
unicipio df Caranavi,,[0]
yo Ayo Municipaity,,[0]
Maharetí (Bolivia),,[0]
Pocona Muncipality,,[0]
l Altp,362.637,[0]
Tacoraya Municipality,570.0849999999999,[0]
