col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Villa Alcalá,,2200,[0]
Vinto Municipality,,2500,[0]
San Miguel de Velasco,,400,[0]
Sapahaqui Municipality,,3578,[0]
Todos Santos,,4350,[0]
Puerto Fernández Alonso,,240,[0]
Chimoré Municipality,,220,[0]
Copacabana Municipality,174.0,3841,[0]
Morochata Municipality,,3600,[0]
Achacachi Municipality,1072.0,3823,[0]
Camiri,,812,[0]
Ancoraimes Municipality,324.0,4060,[0]
Inquisivi Municipality,3268.0,2800,[0]
Puerto Villarroel Municipality,,350,[0]
Esmeralda,,3700,[0]
Caquiaviri,1560.0,3900,[0]
