col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
I-n-Atambay,Mali,,"[0, 1]"
'Elb La'reïg,Mali,Timbuktu Region,"[0, 1, 2]"
Goueïba el Beïda,Mauritania,Assaba Region,"[0, 1, 2]"
Nebket en Nouss,Mali,,"[0, 1]"
dune 7,Namibia,,"[0, 1]"
Astondoko haremunak,Biscay,Gorliz,"[0, 1, 2]"
Muḩammad Khān Sarūnah,Afghanistan,Helmand,"[0, 1, 2]"
Nāziyat Daghash,Saudi Arabia,,"[0, 1]"
‘Irq Jahām,Saudi Arabia,Riyadh Province,"[0, 1, 2]"
El Badia,Mauritania,Tagant Region,"[0, 1, 2]"
‘Aţā Muḩammad Band,Afghanistan,Helmand,"[0, 1, 2]"
Ţi‘s Dalīl,Saudi Arabia,Riyadh Province,"[0, 1, 2]"
Bossieduin,South Africa,Northern Cape,"[0, 1, 2]"
Aouarach,Mali,Timbuktu Region,"[0, 1, 2]"
Agoualîl,Mauritania,Hodh Ech Chargui Region,"[0, 1, 2]"
