col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Niikapu district.,591.6681,5312.686,[0]
iwagunma district,47.8962,,[0]
Chosei Distict,225.37128,,[0]
Kamikita districv,1288.00192,,[0]
waue District,1391.60184,36471.304,[0]
Katva district,419.24736,,[0]
ishjtama district,376.23586,,[0]
Tope district.,1309.0077,,[0]
"Sennan""district",72.68836,67024.98,[0]
Higashiibarak district,309.42089,,[0]
Kitaskitara district,,12358.346,[0]
Mtoyoshi district.,162.7464,,[0]
Kitakatsushik district,46.46114999999999,,[0]
Kitamuryama district,78.98322,,[0]
Onuma Distict.,875.73306,,[0]
Tano diswrict,296.14356,,[0]
ichi dittrict.,,83030.688,[0]
Higashiusuki ditsict.,226.04582,25609.678,[0]
Kurokawa distrkct,364.86752,,[0]
nashiki istrict,180.8416,,[0]
Diko Diswrict,104.57032,,[0]
Shimominochi distric,269.60943,,[0]
"iki""district",283.2693,135267.26499999998,[0]
imotsuga district,91.96931,63693.552,[0]
Mishima!district,16.75957,30231.658,[0]
