col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
USS West Madaket,,[0]
USS Munindies,,[0]
Fuku Haru,8663.0,[0]
Ocean Freedom,,[0]
Boondocks,3286.0,[0]
Rong Da Chang Sha,22271.0,[0]
Viktor Taratin,5415.0,[0]
Boreas,2043.0,[0]
Viet Phong,6868.0,[0]
Wilson Waal,1836.0,[0]
Endymion,,[0]
Li An,729.0,[0]
Huan Luyen 05,1357.0,[0]
Little Wind,3498.0,[0]
USNS Colonel William J. O'Brien,,[0]
Dong Yang,2936.0,[0]
Kunashir,9105.0,[0]
Irina,,[0]
USS Munalbro,,[0]
Corus 1,1223.0,[0]
Olaf Fostenes,,[0]
Nikolay Shchors,2100.0,[0]
