col0,col1,"Metadata:CTA:[0],CPA:[]"
Agra Municipal Corporation,,[0]
Mangalore City Corporation,,[0]
Haldwani Municipal Corporation,,[0]
Rajkot Municipal Corporation,,[0]
Uttarpara Kotrung Municipality,,[0]
Nagar Parishad Alwar,,[0]
Imphal Municipal Corporation,,[0]
Palampur Municipal Corporation,,[0]
Siliguri Municipal Corporation,,[0]
Champdani Municipality,,[0]
Ajmer Municipal Corporation,,[0]
Moradabad,198.0,[0]
Malegaon Municipal Corporation,,[0]
Kota Municipal Corporation,,[0]
Guwahati Municipal Corporation,,[0]
Pimpri-Chinchwad Municipal Corporation,,[0]
