col0,col1,col2,col3,"Metadata:CTA:[0, 3],CPA:[[0, 1], [0, 3], [0, 2]]"
Black October,terrorism,2000-01-01,,"[0, 1]"
Wish Upon a Star,body swap,1996-01-01,,"[0, 1]"
Escape to Witch Mountain,flying saucer,1995-01-01,,"[0, 1]"
Tru Confessions,filmmaking,2002-04-05,Rudolf Blaháček,"[0, 1, 3]"
Flesh and Blood,,1979-01-01,Vilmos Zsigmond,"[0, 3]"
The Challenge,Cold War,1970-01-01,,"[0, 1]"
Doctor Who,Y2K,1996-05-27,Glen MacPherson,"[0, 1, 3]"
You Don't Know Jack,euthanasia,2012-03-30,Eigil Bryld,"[0, 1, 3]"
The Temptation,,1981-01-01,Sławomir Idziak,"[0, 3]"
Spartacus,,2004-01-01,Kees Van Oostrum,"[0, 3]"
The Glass Menagerie,,1973-12-16,Billy Williams,"[0, 3]"
The Innocent,autism,1994-09-25,,"[0, 1]"
The Pirate,terrorism,1978-01-01,,"[0, 1]"
