col0,col1,col2,col3,"Metadata:CTA:[0, 2],CPA:[[0, 1], [0, 2], [0, 3]]"
The Red Piece (2012-2013),,Marc Vanrunxt,Dez Mona,"[0, 2, 3]"
After Eden,,Andrée Marlière,Lee Hoiby,"[0, 2, 3]"
Fairy Queens (2013-2014),,Kris Coussement,Henry Purcell,"[0, 2, 3]"
Nero (2014-2015),,Paul Friedrich,Marin Zivkovic,"[0, 2, 3]"
Nostalgie,,Stefan Schuller,Franz Schubert,"[0, 2, 3]"
Opus I,Passacaglia,Stefan Schuller,Anton Webern,"[0, 1, 2, 3]"
"Young people, old voices (2002-2003)",,Patrick Buret,Patsy Cline,"[0, 2, 3]"
Holeulone (2004-2005),,Julie Rousse,Dominique Pauwels,"[0, 2, 3]"
Nepentha,Shine On Brightly,Alexander Roy,Procol Harum,"[0, 1, 2, 3]"
Golden living dreams of visions (mystic crystal revelation and the mind's true liberation),,Robert Cash,Klaus Schulze,"[0, 2, 3]"
Erwartung/Verklärte Nacht,,Vinicio Cheli,Arnold Schoenberg,"[0, 2, 3]"
Partita 2,,Bert Veris,Johann Sebastian Bach,"[0, 2, 3]"
"Young people, old voices (2006-2007)",,Patrick Buret,Patsy Cline,"[0, 2, 3]"
