col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 2]]"
Seufzersteg,,Germany–Poland border,"[0, 2]"
Simón Bolívar International Bridge,315.0,Colombia-Venezuela border,"[0, 2]"
Sault Ste. Marie International Bridge,,Canada–United States border,"[0, 2]"
International Bridge,,Camino del Interior,"[0, 2]"
Aavasaksa Bridge,471.0,,[0]
Stânca-Costești Dam,,Moldova–Romania border,"[0, 2]"
Spiersbach bridge,,Austria–Liechtenstein border,"[0, 2]"
Second Bridge over the Sai River (Thailand-Myanmar),,Myanmar–Thailand border,"[0, 2]"
Hardegg Thayabrücke,,Austria–Czech Republic border,"[0, 2]"
Pierre Pflimlin Bridge,917.7,list of state roads in Baden-Württemberg from the L67,"[0, 2]"
Atanasio Girardot International Bridge,280.1,Colombia-Venezuela border,"[0, 2]"
Tajik–Afghan Friendship Bridge,135.0,Afghanistan–Tajikistan border,"[0, 2]"
Austria Germany border crossing #2518,,Austria–Germany border,"[0, 2]"
Franco-Brazilian Binational Bridge,378.0,Brazil–France border,"[0, 2]"
Rhine bridge Bangs-Lienz,,Austria–Switzerland border,"[0, 2]"
Bridge of Dillingen,,Germany–Luxembourg border,"[0, 2]"
Katima Mulilo Bridge,877.4,Namibia–Zambia border,"[0, 2]"
