col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Sa Riera,128.0,,[0]
Monells,245.0,47.0,[0]
Jonqueres,34.0,,[0]
Pumares,10.0,496.0,[0]
La Tallada,39.0,747.0,[0]
Gramenet,,732.0,[0]
Muller,2.0,439.0,[0]
La Higuera,,420.0,[0]
Vielha,3628.0,900.0,[0]
Junyent,,1363.7,[0]
Miller,,930.0,[0]
Lilla,,483.0,[0]
Berta,,1280.0,[0]
Fondo da Aldea,,1020.0,[0]
Bonner,,1330.0,[0]
Salcedo,5.0,706.0,[0]
Portugal,,385.0,[0]
Mosoll,15.0,,[0]
Padornelo,,1325.0,[0]
Acebedo,58.0,255.0,[0]
Ratera,9.0,412.0,[0]
Pujol,,833.6,[0]
Su,,726.0,[0]
