col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Borbon,26435,128201475.62,[0]
Barili,56018,240767355.01,[0]
Bantayan,49413,279500064.03,[0]
Badian,27656,156762842.65,[0]
Asturias,36009,188938316.68,[0]
Aloguinsan,21251,116867356.59,[0]
Alegria,17573,186784732.91,[0]
Alcoy,14166,115899242.96,[0]
Alcantara,11853,81317365.64,[0]
Nabunturan,48191,344251590.63,[0]
Maco,58280,459207333.49,[0]
Laak,52425,343459162.05,[0]
Compostela,61095,300831594.19,[0]
President Roxas,31945,285036429.41,[0]
Carmen,39448,464972711.09,[0]
Arakan,31469,269595177.69,[0]
Antipas,17725,212561641.43,[0]
Sarangani,16294,115029859.46,[0]
Santa Maria,34891,270108589.92,[0]
