col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Public Trust Building,,Central Dunedin,"[0, 2]"
Public Trust Building,,Wellington Central,"[0, 2]"
Imperial Buildings,,Auckland Central,"[0, 2]"
Old Tithe Barn,,Waddon,"[0, 2]"
Gare Maritime,Jules Zone,Tour & Taxis,"[0, 1, 2]"
Safeco Plaza,Leslie E. Robertson Associates,,"[0, 1]"
Wilhelminatoren,,Kop van Zuid,"[0, 2]"
"44, High Street",,Brentwood,"[0, 2]"
The Old Bank,,Saltaire,"[0, 2]"
North Gate,,Northern Quarter,"[0, 2]"
Apollo House,,Apollobuurt,"[0, 2]"
Roxy-Palast,,Friedenau,"[0, 2]"
Lever House,,Pentagon,"[0, 2]"
Handelsbanken,,Havneholmen,"[0, 2]"
Harbour Master's Office,,Conwy,"[0, 2]"
