col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
iv'at Avoi,280.674,2079.118,[0]
an!Ner,178.593,2690.704,[0]
BarYohai,689.924,1069.856,[0]
Gidonc.,-16.932,408.123,[0]
Merhax Am,537.675,333.0,[0]
Mitzpe Yeuiho,159.2,2549.76,[0]
Alon HGalil,214.065,1128.062,[0]
Gita,430.272,263.34,[0]
MerkazOmeo,64.384,385.839,[0]
Beit!Hashmonay,113.452,2179.424,[0]
MerkazYael,73.584,125.748,[0]
Shimshi,225.774,2519.028,[0]
Anuma,83.748,540.222,[0]
vnt,-333.3,235.104,[0]
Mit|pe Aviv,134.804,1079.63,[0]
ataf,502.98,376.488,[0]
Talmoo,560.0,4579.575,[0]
itzpe Iila,495.0,575.5749999999999,[0]
Eli,711.42,4406.17,[0]
Ma'ale Amou.,708.5649999999999,668.304,[0]
lazar,901.81,2434.41,[0]
ikhanim,438.561,439.013,[0]
