col0,col1,col2,col3,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2], [0, 3]]"
Mozambique,Mozambique Channel,,Africa,"[0, 1, 3]"
Papua New Guinea,Pacific Ocean,,Insular Oceania,"[0, 1, 3]"
Cape Verde,Pedra de Lume salt ponds,Atlantic Ocean,Africa,"[0, 1, 2, 3]"
Czech Republic,Elbe,Olza,Europe,"[0, 1, 2, 3]"
Turkmenistan,Turan Depression,,Asia,"[0, 1, 3]"
Sri Lanka,Indian Ocean,Indian Ocean,Asia,"[0, 1, 2, 3]"
Greece,Calypso Deep,Mediterranean Sea,Europe,"[0, 1, 2, 3]"
Italy,Contane,Ligurian Sea,Europe,"[0, 1, 2, 3]"
Burkina Faso,Black Volta,,Africa,"[0, 1, 3]"
Uzbekistan,Sarygamysh Lake,,Asia,"[0, 1, 3]"
San Marino,Ausa River,,Europe,"[0, 1, 3]"
Costa Rica,Caribbean Sea,Caribbean Sea,North America,"[0, 1, 2, 3]"
United Arab Emirates,Persian Gulf,Gulf of Oman,Asia,"[0, 1, 2, 3]"
Azerbaijan,Caspian Sea,,Asia,"[0, 1, 3]"
Vanuatu,Pacific Ocean,,Insular Oceania,"[0, 1, 3]"
Myanmar,Indian Ocean,,Asia,"[0, 1, 3]"
Bhutan,Drangme Chhu,,Asia,"[0, 1, 3]"
