col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Rocky Channel,Ontario,"[0, 1]"
Rocky Channel,Ontario,"[0, 1]"
Ottilien Pass,Madang Province,"[0, 1]"
Yerik Biryuchiy,,[0]
Protoka Gol'dinskaya,,[0]
Canal de Bolama,,[0]
Vassøysundet,,[0]
Protoka Chuoralakh-Tobyulege,,[0]
East Fox Creek,Suffolk County,"[0, 1]"
Protoka Kuznetsovskiy Zaton,,[0]
Makongai Channel,,[0]
Kilindini Channel,,[0]
American Channel,Ontario,"[0, 1]"
Protoka Innokent'yevskaya,,[0]
Davikfjorden,Sogn og Fjordane,"[0, 1]"
Grenville Channel,British Columbia,"[0, 1]"
Yekaterina Strait,,[0]
Canal do Sul,Mozambique,"[0, 1]"
Canal do Sul,Mozambique,"[0, 1]"
