col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
OGLE J051841.98-69051.9,-68.904303888,[0]
HD 58553,2.37004669253,[0]
HD 16434,-40.36851129914811,[0]
HD 10446.,-63.49979227795491,[0]
HD 88864,-61.546211147037376,[0]
NG 4755 20,-60.29821263209271,[0]
HD 152090,-40.99351212754994,[0]
D 98260,-60.89590215449977,[0]
* V401!Car,-58.726092640065566,[0]
GG Canis Majris,-30.80387984709828,[0]
H 155407,-45.18035185832,[0]
WR 88,-34.23646602576695,[0]
Nu Erigani,-3.32564050682336,[0]
V* V231 Oph,-27.14012181670608,[0]
HD 10035,-63.110655761978,[0]
HD 159:92,-45.899044797446784,[0]
HD 366304,-16.546381548491418,[0]
