col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Piedra Roja,164.2,[0]
Mününí,87.8,[0]
Niba,135.8,[0]
Nämnoní,28.4,[0]
Emplanada de Chorcha,147.6,[0]
Cerro de Patena,51.2,[0]
Boca de Balsa,119.5,[0]
Soloy,113.1,[0]
Camarón Arriba,49.7,[0]
Cerro Banco,107.0,[0]
"Taboga, Panama",8.5,[0]
"La Gloria, Bocas del Toro",165.0,[0]
Rambala,33.6,[0]
"Pedasí township, Los Santos",114.3,[0]
Tierra Oscura,88.5,[0]
Teribe,858.5,[0]
Punta Robalo,51.0,[0]
Punta Laurel,71.9,[0]
Nuevo Chagres,5.9,[0]
"Miramar, Bocas del Toro",26.9,[0]
"Las Tablas, Bocas del Toro",97.0,[0]
Santa Ana,1.3,[0]
