col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
emaha County,0.2988,10303.819,[0]
Mitchell Dounty,2.3904,5853.96,[0]
Rusi County.,0.0302699999999999,2973.736,[0]
Linn Cownty,1.992,9677.319,[0]
Montgomery Coupty,1.2096,31454.514,[0]
Serman County.,0.02,5885.511,[0]
Douglas Couoty,3.992,119378.925,[0]
Russll County,1.4895,6644.163,[0]
Graham Cownty,0.0298499999999999,2393.265,[0]
NortonCounty,0.3988,5409.869,[0]
allad Count|,0.01006,1524.096,[0]
owley Conty,0.5958,34307.157,[0]
Hamilton Conty,0.0999,2502.892,[0]
Seegwick County,1.212,522252.528,[0]
Chauauqua County.,0.9018,3358.726,[0]
Harper Cownty,0.2016,5534.365,[0]
Dickinon County,0.5988,18346.794,[0]
Goe County,0.00997,2728.872,[0]
El County,1.003,2502.864,[0]
GreenwoodCounty,0.7936000000000001,6022.016,[0]
Paxnee County,0.04955,6234.241,[0]
