col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Saint Xavier Univertity - Orland ark Campus,Orland Park,"[0, 1]"
rimsby Institute and University Centre Irimsby - Westward Ho Campus,Grimsby,"[0, 1]"
Campus Helsingborh,Helsingborg,"[0, 1]"
Conumbus State University - RiverPark Campus.,,[0]
Rutgers University–Camdgn,,[0]
niversity f Phoenix - Uta Campus,Salt Lake City,"[0, 1]"
Collin College Sprin Creek Campus,,[0]
Universlty of Westminsteu - Hdrrow Campus.,,[0]
Strayer University - Tdmpa Westshore Campus,,[0]
Uniersity of Notre Dame Australia - Broome Campus,Broome,"[0, 1]"
South Dakota School for the Blnd,,[0]
niversity pf the Free State - Qwaqwa Campus,,[0]
