col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 2]]"
2016 Vuelta a España,198.0,3315.4,[0]
1992 Vuelta a España,,3395.0,[0]
1971 Vuelta a España,,2892.0,[0]
1970 Vuelta a España,,3568.0,[0]
1962 Vuelta a España,,2806.0,[0]
1965 Vuelta a España,,3410.0,[0]
1988 Vuelta a España,,3425.0,[0]
1958 Vuelta a España,,3241.8,[0]
1947 Vuelta a España,,3893.0,[0]
2002 Vuelta a España,207.0,3134.0,[0]
1950 Vuelta a España,,3984.0,[0]
2017 Vuelta a España,198.0,3297.7,[0]
2018 Vuelta a España,176.0,3271.4,[0]
2011 Vuelta a España,198.0,3320.2,[0]
