col0,col1,col2,col3,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2], [0, 3]]"
Psyche and Love,Évreux,Psyche,,"[0, 1, 2]"
embroidered heraldic hanging with the Arms of France and of La Rochelle,La Rochelle,,Orbigny-Bernon Museum,"[0, 1, 3]"
Animal Combat,8th arrondissement of Paris,,Hôtel de la Marine,"[0, 1, 3]"
Two Scenes from the Life of Saint Florent,Angers,,Château d'Angers,"[0, 1, 3]"
The Fates Spinning the Life of Marie de Medici,7th arrondissement of Paris,,Ministry of Foreign Affairs building,"[0, 1, 3]"
The Vocation and Consecration of Saint Remy,Reims,Saint Remigius,Musée Saint-Remi,"[0, 1, 2, 3]"
The Story of Scipio,,Scipio Africanus,Château de Chambord,"[0, 2, 3]"
The Dead Christ,5th arrondissement of Paris,Passion,Église Saint-Médard,"[0, 1, 2, 3]"
Saint Faith before Decius,Conques-en-Rouergue,,Abbey Church of Saint Foy,"[0, 1, 3]"
Animals Entering the Ark,Kraków,Noah,Wawel Castle,"[0, 1, 2, 3]"
The Story of Perseus,Chaumont-sur-Loire,,Castle of Chaumont-sur-Loire,"[0, 1, 3]"
"Manna, from the Story of Moses",Châteaudun,manna,Château de Châteaudun,"[0, 1, 2, 3]"
The Coronation of a King of France,Rouen,,Château de Châteaudun,"[0, 1, 3]"
Esther Before Ahasuerus,Le Mans,Esther lili,Notre-Dame de la Couture,"[0, 1, 2, 3]"
Esther Before Ahasuerus,Le Mans,Esther lili,Le Mans Cathedral,"[0, 1, 2, 3]"
