col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 2], [0, 1]]"
Croix d'Avray,1950-01-01,,[0]
Creu de terme de Palà de Coma,1900-01-01,,[0]
Wayside cross in Brandýs nad Orlicí,,Žerotínova,"[0, 2]"
Creu de terme de Can Teixidor,1400-01-01,,[0]
Croix de chemin Saint-Siméon,,rue du Général de Gaulle,"[0, 2]"
Croix de Grand-Loëze,,Route de Saint-Cyr,"[0, 2]"
Wayside cross near chapel of Sacred Heart,1976-01-01,,[0]
"Wayside cross in Příbor, Jičínská",,Jičínská,"[0, 2]"
"Wayside cross in Příbor, Štramberská II",,Štramberská,"[0, 2]"
Wegkreuz Sonnenhof,1886-01-01,,[0]
Calvary cross in Štíty,,Náměstí Míru,"[0, 2]"
crucifix in Kněžnice,1801-01-01,,[0]
Kříž u Velelib,1890-01-01,,[0]
"Wayside cross in Příbor, Štramberská IV.",,Štramberská,"[0, 2]"
wayside cross at Horní Moučka,1833-01-01,,[0]
Wayside cross in Vilémovice,1870-01-01,,[0]
"Moordkruis, Reijmerstok",1896-01-01,,[0]
