col0,col1,"Metadata:CTA:[0, 1],CPA:[[0, 1]]"
La Flèche Wallonne Femmes 2017,Lizzie Deignan,"[0, 1]"
La Flèche Wallonne Femmes 2002,Regina Schleicher,"[0, 1]"
La Flèche Wallonne Femmes 2005,Judith Arndt,"[0, 1]"
La Flèche Wallonne Femmes 2006,Trixi Worrack,"[0, 1]"
La Flèche Wallonne Femmes 2004,Trixi Worrack,"[0, 1]"
La Flèche Wallonne Femmes 2003,Trixi Worrack,"[0, 1]"
La Flèche Wallonne Femmes 2001,Trixi Worrack,"[0, 1]"
La Flèche Wallonne Femmes 2008,Marianne Vos,"[0, 1]"
La Flèche Wallonne Femmes 2007,Marianne Vos,"[0, 1]"
La Flèche Wallonne Femmes 1998,Alessandra Cappellotto,"[0, 1]"
La Flèche Wallonne Femmes 2015,Emma Johansson,"[0, 1]"
La Flèche Wallonne Femmes 1999,Mari Holden,"[0, 1]"
La Flèche Wallonne Femmes 2000,Diana Žiliūtė,"[0, 1]"
La Flèche Wallonne Femmes 2012,Marianne Vos,"[0, 1]"
La Flèche Wallonne Femmes 2011,Marianne Vos,"[0, 1]"
La Flèche Wallonne Femmes 2010,Marianne Vos,"[0, 1]"
