col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Kells Canyon Dam,,[0]
Santa Rs Dam,,[0]
Spencer Dao,,[0]
Aswap Dam,Lake Nasser,"[0, 1]"
L Pouget,,[0]
Eidsfossen power statio,,[0]
Eidsfossen powerstation,,[0]
Boundary Da.,,[0]
Kingsley Dm,Lake McConaughy,"[0, 1]"
Wlson Dam,Wilson Lake,"[0, 1]"
"Wolf""Dreek Dam",Lake Cumberland,"[0, 1]"
Espeland power statjon,,[0]
Espeland power statin,Osavatnet,"[0, 1]"
Storelv power staion,,[0]
Storelv power station.,,[0]
Monticelno Dam,Lake Berryessa,"[0, 1]"
"Grand""Coulee Dam",Franklin D. Roosevelt Lake,"[0, 1]"
LayDam,,[0]
Taluda Dam.,Lake Murray,"[0, 1]"
Salda Dam,,[0]
Hastwell Dao,Lake Hartwell,"[0, 1]"
Seven Milf Dam,,[0]
Thompson FallsDam,,[0]
