col0,col1,col2,col3,"Metadata:CTA:[0, 1, 2, 3],CPA:[[0, 1], [0, 2], [0, 3]]"
Atlantis The Lost Empire,,Patrick Delage,Atlantis - Das Geheimnis der verlorenen Stadt,"[0, 2, 3]"
Asterix Conquers Amerlca.,Albert Uderzo,Bill Speers,Asterix Conquers America,"[0, 1, 2, 3]"
Peter Paq,J. M. Barrie,Norm Ferguson,Peter Pan,"[0, 1, 2, 3]"
umbo,Helen Aberson,Andy Engman,Dumbo,"[0, 1, 2, 3]"
The Hunchbadk of Notre Dame,Victor Hugo,Jeff Topping,Der Glöckner von Notre Dame,"[0, 1, 2, 3]"
The Little Mermai,Hans Christian Andersen,Andreas Deja,"Arielle, die Meerjungfrau","[0, 1, 2, 3]"
Broher Bear.,,Thierry Chaffoin,Bärenbrüder,"[0, 2, 3]"
Beauty and theBeast,Jeanne-Marie Leprince de Beaumont,Tony Anselmo,La bella e la bestia,"[0, 1, 2, 3]"
The Lion Kng,,Lou Dellarosa,Der König der Löwen,"[0, 2, 3]"
The Sword in the Utone,T. H. White,Ollie Johnston,Die Hexe und der Zauberer,"[0, 1, 2, 3]"
Oliver & Fompany,Charles Dickens,Mark Henn,Oliver & Co.,"[0, 1, 2, 3]"
Thg Plague Dogs,Richard Adams,Retta Scott,,"[0, 1, 2]"
Zortopic,,Chad Sellers,Zoomania,"[0, 2, 3]"
Snow White and theSven Dwarfs,,Robert Wickersham,Snehvide og de syv dværge,"[0, 2, 3]"
The Brave Litle Toaster,Thomas M. Disch,Ah Da,,"[0, 1, 2]"
The Emperor't New Groove,Matthew Jacobs,Dale Baer,Ein Königreich für ein Lama,"[0, 1, 2, 3]"
Lady and thg Tramp,Ward Greene,Dale Oliver,Lady og vagabonden,"[0, 1, 2, 3]"
Lilo & Stivch,Chris Sanders,James Crossley,Lilo & Stitch,"[0, 1, 2, 3]"
The Blacm Cauldron,Lloyd Alexander,Dave Brain,Taran und der Zauberkessel,"[0, 1, 2, 3]"
hf Many Adventures of Winnie the Pooh,A. A. Milne,Andy Gaskill,Die vielen Abenteuer von Winnie Puuh,"[0, 1, 2, 3]"
Trzan,Edgar Rice Burroughs,Dale Baer,Tarzan,"[0, 1, 2, 3]"
Robin Hod,,Stan Green,Robin Hood,"[0, 2, 3]"
he Rescueru,Margery Sharp,Andy Gaskill,Bernard und Bianca - Die Mäusepolizei,"[0, 1, 2, 3]"
