col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Konsum,Coop Eesti,"[0, 1]"
Crisp,,[0]
Simon de Wit,,[0]
Tigre,,[0]
Selver,,[0]
Food Lion,,[0]
Wellcome,Dairy Farm International Holdings,"[0, 1]"
Food City,,[0]
Claudio,,[0]
Centra,,[0]
Centra,,[0]
Maxi,Loblaw Companies,"[0, 1]"
Mere,Torgservis,"[0, 1]"
Festival Foods,,[0]
Festival Foods,,[0]
Miro,,[0]
Homeland,,[0]
Woolworths,,[0]
Woolworths,Woolworths Group,"[0, 1]"
Fora,,[0]
The Fresh Market,,[0]
Kroger,,[0]
Edeka,Edeka Minden-Hannover,"[0, 1]"
Loeb,,[0]
Market Street,,[0]
