col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Nast-Berg,317.4,[0]
Ettringer Bell-Berg,427.5,[0]
Piton de la Source,1834.0,[0]
Piton de Bébour,1460.0,[0]
Backenberg,341.0,[0]
Antaninaomby,622.0,[0]
Mont d'Alambre,1691.0,[0]
Biliran,1301.0,[0]
Zhuzi Mountain,1008.0,[0]
Morne Anglais,1122.0,[0]
Mont Lokobe,455.0,[0]
Karymshina,1300.0,[0]
Laki,818.0,[0]
San Marcelino,1314.0,[0]
Sincholagua Volcano,4899.0,[0]
Hoher List,549.1,[0]
Karpinsky Group,1262.0,[0]
Kuttara,581.0,[0]
Korath Range,912.0,[0]
Morne Plat Pays,960.0,[0]
Washiba-Kumonotaira,2924.0,[0]
Tin Zaouatene volcanic field,700.0,[0]
Perbakti-Gagak,1699.0,[0]
