col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
87GB 174550.5+642251,199108.0,,[0]
[CBH2010] 053.077999-28.222332,72252.0,20.5,[0]
2MASX J14530086+1640577,13625.0,18.438,[0]
[MWB97] 570,62959.0,20.01,[0]
Arp 220,5427.0,13.88,[0]
LEDA 138542,48337.0,18.72,[0]
2MASX J03414449-5342216,19943.0,18.8163,[0]
LEDA 3095911,45432.0,21.0,[0]
LEDA 1015024,,19.2635,[0]
2dFGRS TGS898Z680,28433.0,19.3397,[0]
MCG+04-27-059,9985.0,16.17,[0]
WINGS J012442.24+085124.4,,17.5954,[0]
PGC 55841,3545.0,17.0541,[0]
NGC 5772,4895.0,12.9,[0]
2MASX J01092841-1522471,,14.601,[0]
2MASX J11485448-3320410,8614.0,16.42,[0]
4C +37.11,15894.0,18.5,[0]
EQ 013734+293553,,16.5,[0]
UGC 7155,16704.0,18.4282,[0]
NGC 4041,1218.0,11.1,[0]
ASV 31,87829.0,21.14,[0]
2MASX J01101406+5010313,7080.0,18.0475,[0]
NGC 5635,4222.6,12.9,[0]
IC 485,8371.0,13.962,[0]
