col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Davis Creek Township,35.97,653,[0]
Custer Township,53.75,755,[0]
Cuming Township,35.51,418,[0]
Cuming Township,36.02,403,[0]
Creston Township,35.85,506,[0]
Creighton Township,34.87,494,[0]
Craig Township,56.39,397,[0]
Council Creek Township,35.36,523,[0]
Cottonwood Township,37.52,677,[0]
Cottonwood Township,46.56,594,[0]
Cotterell Township,53.56,384,[0]
Cosmo Township,36.19,657,[0]
Corner Township,35.64,766,[0]
Conley Township,72.31,665,[0]
Concord Township,35.86,451,[0]
Comstock Township,31.08,696,[0]
Columbus Township,59.01,439,[0]
Columbia Township,35.99,530,[0]
Collins Township,24.99,665,[0]
