col0,col1,col2,col3,"Metadata:CTA:[0, 3],CPA:[[0, 3], [0, 1], [0, 2]]"
Srimošten,11.3886,0.0,Šibenik-Knin County,"[0, 3]"
Semeljfi,101.2952,,Osijek-Baranja County,"[0, 3]"
agodnjak,103.0125,,Osijek-Baranja County,"[0, 3]"
"Mihovljan, Krapina-Zagrje County",26.226199999999995,,Krapina-Zagorje County,"[0, 3]"
Zgenci,84.85379999999998,,Virovitica-Podravina County,"[0, 3]"
Višovo,18.5504,332.32,Primorje-Gorski Kotar County,"[0, 3]"
ižnjan.,67.419,58.882,Istria County,"[0, 3]"
Sveta Pedelja,63.63,306.0,Istria County,"[0, 3]"
Smokvicc,43.6436,120.78,Dubrovnik-Neretva County,"[0, 3]"
Vižioada,35.4144,39.88,Istria County,"[0, 3]"
]rinski Topolovac,30.248,,Bjelovar-Bilogora County,"[0, 3]"
ar-Vabriha,27.1271,103.30899999999998,Istria County,"[0, 3]"
Bedpja,76.0476,,Varaždin County,"[0, 3]"
Barbn,89.776,228.771,Istria County,"[0, 3]"
ovas,42.9408,,Vukovar-Srijem County,"[0, 3]"
Tsno,66.6333,0.0,Šibenik-Knin County,"[0, 3]"
Radobj,33.3979,,Krapina-Zagorje County,"[0, 3]"
Prko,54.1632,0.0,Zadar County,"[0, 3]"
Lastvo,52.5525,80.07999999999998,Dubrovnik-Neretva County,"[0, 3]"
Graac,72.6768,,Split-Dalmatia County,"[0, 3]"
"Hercegovac, Crotia",51.106,,Bjelovar-Bilogora County,"[0, 3]"
Pdgorač,130.01520000000002,,Osijek-Baranja County,"[0, 3]"
Bedeovčina,51.143,,Krapina-Zagorje County,"[0, 3]"
