col0,col1,col2,"Metadata:CTA:[0, 1],CPA:[[0, 1], [0, 2]]"
Avtovo,Evgeny Levinson,regional cultural heritage site in Russia,"[0, 1, 2]"
Okeanskaya,,regional cultural heritage site in Russia,"[0, 2]"
Church of Our Lady of Kazan,,federal cultural heritage site in Russia,"[0, 2]"
Lanskaya,Bruno Granholm,regional cultural heritage site in Russia,"[0, 1, 2]"
Narikala,,Cultural heritage in Georgia,"[0, 2]"
Old Sarepta,,federal cultural heritage site in Russia,"[0, 2]"
Regimental Office House,Andrey Kvasov,,"[0, 1]"
Blagoveshchensk,,federal cultural heritage site in Russia,"[0, 2]"
Church of the Nativity of Christ,,regional cultural heritage site in Russia,"[0, 2]"
Church of the Nativity of Christ,,regional cultural heritage site in Russia,"[0, 2]"
Svyato-Dukhov Monastery,,cultural heritage site in Russia,"[0, 2]"
Church of St. Nicholas,Ivan Vasil'evič Egotov,federal cultural heritage site in Russia,"[0, 1, 2]"
Fortuna,,cultural heritage site in Russia,"[0, 2]"
Sokolniki,Ivan Taranov,tentative cultural heritage site in Russia,"[0, 1, 2]"
Uzkoye,,federal cultural heritage site in Russia,"[0, 2]"
Church of the Exaltation of the Holy Cross,,regional cultural heritage site in Russia,"[0, 2]"
VDNKh,Ivan Taranov,tentative cultural heritage site in Russia,"[0, 1, 2]"
Komsomolskaya,Viktor Dmitrievitsj Kokorin,regional cultural heritage site in Russia,"[0, 1, 2]"
Komsomolskaya,Aleksey Rukhlyadev,tentative cultural heritage site in Russia,"[0, 1, 2]"
