col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Germany,Bremen,"[0, 1]"
Slovenia,Municipality of Divača,"[0, 1]"
Sudan,Gezira,"[0, 1]"
Norway,Vestland,"[0, 1]"
Guinea,Conakry,"[0, 1]"
France,French Guiana,"[0, 1]"
Moldova,Ștefan Vodă District,"[0, 1]"
Estonia,Hiiu County,"[0, 1]"
Lebanon,Mount Lebanon Governorate,"[0, 1]"
Vatican City,,[0]
United Arab Emirates,Emirate of Sharjah,"[0, 1]"
Lithuania,Marijampolė County,"[0, 1]"
United Kingdom,England,"[0, 1]"
East Timor,Bobonaro Municipality,"[0, 1]"
Malaysia,Kuala Lumpur,"[0, 1]"
Romania,Vâlcea County,"[0, 1]"
Belarus,Minsk,"[0, 1]"
People's Republic of China,Beijing,"[0, 1]"
Peru,Callao Constitutional Province,"[0, 1]"
Italy,Emilia-Romagna,"[0, 1]"
Venezuela,Táchira,"[0, 1]"
Jordan,Mafraq Governorate,"[0, 1]"
Serendip,,[0]
Tanzania,Dar es Salaam,"[0, 1]"
Cuba,Havana Province,"[0, 1]"
