col0,col1,col2,"Metadata:CTA:[0, 1, 2],CPA:[[0, 1], [0, 2]]"
SMS Prinz Adalbert,Prinz Adalbert-class cruiser,Imperial German Navy,"[0, 1, 2]"
HMS Donegal,Monmouth-class armored cruiser,Royal Navy,"[0, 1, 2]"
O'Higgins,,Chilean Navy,"[0, 2]"
HMS Drake,Drake-class armored cruiser,Royal Navy,"[0, 1, 2]"
Dupleix,Dupleix-class cruiser,French Navy,"[0, 1, 2]"
HMS Euryalus,Cressy-class armored cruiser,Royal Navy,"[0, 1, 2]"
HMS Shannon,Minotaur-class armored cruiser,Royal Navy,"[0, 1, 2]"
HMS Shannon,,Royal Navy,"[0, 2]"
HMS Northampton,Nelson-class armored cruiser,Royal Navy,"[0, 1, 2]"
HMS Suffolk,Monmouth-class armored cruiser,Royal Navy,"[0, 1, 2]"
USS South Dakota,Pennsylvania-class cruiser,United States Navy,"[0, 1, 2]"
HMS Hogue,Cressy-class armored cruiser,Royal Navy,"[0, 1, 2]"
