col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
* V627 Per,-2.2311,[0]
V* V125 Cen,10.80576,[0]
V* MS Erk,23.23972,[0]
KV Peg,-77.4888,[0]
Cl* NGC 7789 EB 29.,,[0]
CRTS J021808.0+37053,,[0]
CRTS 160620.7-062319,,[0]
CRTS J002205.3.315334,,[0]
V* V4091 Sgt,-20.32671,[0]
V* Y900 Per,24.709570642,[0]
LV Hydrae.,29.8043718,[0]
V* V383 Sr,-95.0225,[0]
OGLE BL654.14 66787,,[0]
SSBoötis,-49.059360000000005,[0]
CRTS J231858.4+393828.,,[0]
OGLE BLG504.2 106420,,[0]
CRTS J2246498+273925,,[0]
HZAquarii,-110.06172201799998,[0]
CTTS J013342.5+261820,,[0]
CRTS J012826.6+37442,,[0]
* V5741 Ugr,,[0]
13 Cet,10.6144,[0]
CRTS J025725.5+33221,,[0]
