col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Iglesias,25093,200,[0]
Levice,200,547,[0]
Magherno,1778,76,[0]
Danta di Cadore,433,1398,[0]
Albignasego,26890,11,[0]
Biassono,12305,202,[0]
Venaus,875,604,[0]
Moasca,535,260,[0]
Duino-Aurisina,8262,144,[0]
Cerreto Grue,291,251,[0]
Tonengo,210,430,[0]
Bergantino,2394,15,[0]
Chiampo,12531,175,[0]
Avezzano,40661,695,[0]
Nuoro,33850,554,[0]
Grana Monferrato,509,289,[0]
Visco,827,27,[0]
Villar Focchiardo,1953,450,[0]
Vidor,3703,152,[0]
Angiari,2489,17,[0]
