col0,col1,col2,col3,"Metadata:CTA:[0, 1, 2, 3],CPA:[[0, 1], [0, 2], [0, 3]]"
Crs 2,Brian Fee,Denise Ream,,"[0, 1, 2]"
Mee the Robinsons,,John Lasseter,John Lasseter,"[0, 2, 3]"
Te Princess and the Frog,Chris Montan,Peter Del Vecho,Monica Lago-Kaytis,"[0, 1, 2, 3]"
An Amerjcan Tail: Fievel Goes West,,Robert Watts,Frank Marshall,"[0, 2, 3]"
The Breadwiner,Lorraine Lordan,Andrew Rosen,,"[0, 1, 2]"
hisper of the Hear,,Toshio Suzuki,Yasuyoshi Tokuma,"[0, 2, 3]"
Th Aristocats,Walter Sheets,Wolfgang Reitherman,,"[0, 1, 2]"
Hotel Tranvylvania.,,Adam Sandler,Adam Sandler,"[0, 2, 3]"
Alddin,Hans Bacher,Ron Clements,Alice Dewey,"[0, 1, 2, 3]"
The SevenRavens,Hermann Diehl,Hermann Diehl,,"[0, 1, 2]"
Scorb!,,Pam Coats,Richard Suckle,"[0, 2, 3]"
Oliver & ompany,Alex Mann,Kathleen Gavin,,"[0, 1, 2]"
Song of the ea,Fabian Erlinghäuser,Paul Young,,"[0, 1, 2]"
Petgr Pan,Hugh Hennesy,Walt Disney,,"[0, 1, 2]"
The Mungle Book,Al Dempster,Walt Disney,Don Duckwall,"[0, 1, 2, 3]"
Whitf Fang,François Cao,Christel Henon,,"[0, 1, 2]"
Adamd,Pierre Ducos,Lucien Chemla,,"[0, 1, 2]"
All Dogs Go o Heaven,,John Pomeroy,Morris Sullivan,"[0, 2, 3]"
Hrcules,Carl Jones,John Musker,Peter Del Vecho,"[0, 1, 2, 3]"
Coco,,Darla K. Anderson,John Lasseter,"[0, 2, 3]"
