col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
al-Baṣīr,1964-01-01,[0]
al-Baṣīr,1882-01-01,[0]
al-Afkār,1941-01-01,[0]
al-Iʿtidāl,1883-01-01,[0]
al-Iqdām,1937-01-01,[0]
al-Muqtabas,1909-12-03,[0]
al-Qabas,1914-01-29,[0]
al-Umma,1910-03-08,[0]
al-ʿAṣr al-Jadīd,1912-01-01,[0]
Le Journal de l’Aisne,1927-01-01,[0]
The Real News,1998-01-01,[0]
The Colonist,1970-01-01,[0]
The Albanian Pledge,1921-01-01,[0]
Algemeene Staatkundige Nieuwsberichten,1794-06-28,[0]
L'Anti-radical de la Mayenne,1886-07-04,[0]
L'Indépendant de l'Ouest,1892-06-30,[0]
Georgia Statesman,1827-01-01,[0]
Yorkshire Post and Leeds Intelligencer,1883-01-01,[0]
