col0,col1,"Metadata:CTA:[0],CPA:[]"
Trolleybuses in Riga,,[0]
Trolleybus of Oufa,,[0]
Trolleybuses in Adelaide,,[0]
Trolleybuses in Babruysk,,[0]
Riyadh trolleybus,,[0]
Trolleybuses in Gera,,[0]
Trolleybuses in Solingen,56.6,[0]
Trolleybuses in Khabarovsk,,[0]
trolleybuses in Drammen,,[0]
Trolleybuses in Vaslui,,[0]
trolleybuses in Medias,,[0]
Trolleybuses in Ljubljana,,[0]
Trolleybus transport in Mahilioŭ,,[0]
Trolleybuses in Winterthur,,[0]
Trolleybuses in Edmonton,,[0]
тролейбус,,[0]
Trolleybuses in Sloviansk,,[0]
Trolleybuses in Eastern Berlin,,[0]
Trolleybuses in Ferrara,,[0]
