col0,col1,"Metadata:CTA:[0],CPA:[[0, 1]]"
Dulcinea,New International Encyclopedia,"[0, 1]"
Knecht Ruprecht,Nordisk familjebok,"[0, 1]"
Charles Evans,Who's Who in Star Trek 1,"[0, 1]"
Oliver,Brockhaus and Efron Encyclopedic Dictionary,"[0, 1]"
Jerry Cotton,Medvik,"[0, 1]"
Iago,The Nuttall Encyclopædia,"[0, 1]"
Yorick,The Nuttall Encyclopædia,"[0, 1]"
Ivan Tsarevich,Brockhaus and Efron Encyclopedic Dictionary,"[0, 1]"
Dunno,The Adventures of Dunno and his Friends,"[0, 1]"
Jean Valjean,The New Student's Reference Work,"[0, 1]"
Bradamante,The Nuttall Encyclopædia,"[0, 1]"
Han Fu,History of Ming,"[0, 1]"
Falstaff,Brockhaus and Efron Encyclopedic Dictionary,"[0, 1]"
Nancy Drew,Girl Culture: An Encyclopedia,"[0, 1]"
Armida,Brockhaus and Efron Encyclopedic Dictionary,"[0, 1]"
Robin Hood,Brockhaus and Efron Encyclopedic Dictionary,"[0, 1]"
Aeneas,Brockhaus and Efron Encyclopedic Dictionary,"[0, 1]"
Xena,Geek Heroines: An Encyclopedia of Female Heroes in Popular Culture,"[0, 1]"
