col0,col1,col2,"Metadata:CTA:[0, 1, 2],CPA:[[0, 1], [0, 2]]"
1990–91 US Quevilly season,US Quevilly,men's association football,"[0, 1, 2]"
1989–90 US Quevilly season,US Quevilly,men's association football,"[0, 1, 2]"
1988–89 US Quevilly season,US Quevilly,men's association football,"[0, 1, 2]"
1987–88 US Quevilly season,US Quevilly,men's association football,"[0, 1, 2]"
1986–87 US Quevilly season,US Quevilly,men's association football,"[0, 1, 2]"
1985–86 US Quevilly season,US Quevilly,men's association football,"[0, 1, 2]"
1984–85 US Quevilly season,US Quevilly,men's association football,"[0, 1, 2]"
1983–84 US Quevilly season,US Quevilly,men's association football,"[0, 1, 2]"
1982–83 US Quevilly season,US Quevilly,men's association football,"[0, 1, 2]"
1981–82 US Quevilly season,US Quevilly,men's association football,"[0, 1, 2]"
1980–81 US Quevilly season,US Quevilly,men's association football,"[0, 1, 2]"
1979–80 US Quevilly season,US Quevilly,men's association football,"[0, 1, 2]"
1978–79 US Quevilly season,US Quevilly,men's association football,"[0, 1, 2]"
1977–78 US Quevilly season,US Quevilly,men's association football,"[0, 1, 2]"
1976–77 US Quevilly season,US Quevilly,men's association football,"[0, 1, 2]"
1975–76 US Quevilly season,US Quevilly,men's association football,"[0, 1, 2]"
1974–75 US Quevilly season,US Quevilly,men's association football,"[0, 1, 2]"
1973–74 US Quevilly season,US Quevilly,men's association football,"[0, 1, 2]"
