col0,col1,col2,"Metadata:CTA:[0, 1, 2],CPA:[[0, 1], [0, 2]]"
The Art of Happiness,Antonio Fresa,,"[0, 1]"
Blinky Bill,Guy Gross,Yoram Gross,"[0, 1, 2]"
Ooops! Noah Is Gone...,Stephen McKeon,,"[0, 1]"
Ice Age,David Newman,Catherine Winder,"[0, 1, 2]"
Appleseed,Tetsuya Takahashi,Naoko Watanabe,"[0, 1, 2]"
Ratatouille,Michael Giacchino,Brad Lewis,"[0, 1, 2]"
Renaissance,Nicholas Dodd,,"[0, 1]"
Johan Padan a la descoverta de le Americhe,,Luciano Beretta,"[0, 2]"
The Swallows of Kabul,,Reginald de Guillebon,"[0, 2]"
An American Tail: Fievel Goes West,James Horner,Robert Watts,"[0, 1, 2]"
The Illusionist,Sylvain Chomet,,"[0, 1]"
Pinocchio,Lucio Dalla,,"[0, 1]"
Pinocchio,Leigh Harline,Walt Disney,"[0, 1, 2]"
Pinocchio,Vito Tommaso,Giuliano Cenci,"[0, 1, 2]"
Ice Age: Dawn of the Dinosaurs,John Powell,Lori Forte,"[0, 1, 2]"
