col0,col1,col2,"Metadata:CTA:[0],CPA:[[0, 1], [0, 2]]"
Van Nicolás,102.616,480.916,[0]
San Picolás,75.25019999999999,633.896,[0]
El Pdraíso,352.9942,809.647,[0]
El Praíso,257.0,609.465,[0]
Magdalen,40.3,299.4,[0]
Apccilagua.,228.043,354.765,[0]
Sn Pedro Sula,850.3059,82.336,[0]
rada,103.30899999999998,435.31,[0]
Trujllo,948.5136,14.955,[0]
Veracru{,33.96256,1086.553,[0]
Yamaraguild,300.4848,1776.596,[0]
Saq Pedro de Tutule,47.215,1311.408,[0]
Armecina,99.4964,130.0,[0]
San José del#Potrero,198.1017,750.2439999999999,[0]
Yuyupe,64.53084000000001,771.8399999999999,[0]
San Jotge,58.55776,905.073,[0]
Gurizama,161.0818,753.49,[0]
